stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,level_id,platform_code
"at:43:31415:0:1","Wiener Neustadt Hans-Barwitzius-Volksschule","47.79576249","16.23041919","3004","","","Level 0","1"
"at:43:31415:0:2","Wiener Neustadt Hans-Barwitzius-Volksschule","47.79564180","16.23032038","3004","","","Level 0","2"
"at:43:31417:0:1","Raipoltenbach Hauptstraße","48.21777136","15.88808022","3441","","","Level 0","1"
"at:43:31418:0:1","Raipoltenbach Gh. Schabschneider","48.21568238","15.89046974","3441","","","Level 0","1"
"at:43:31419:0:1","Marbach/Donau Volksschule","48.21394649","15.14913505","3317","","","Level 0","1"
"at:43:31419:0:2","Marbach/Donau Volksschule","48.21383875","15.14913505","3317","","","Level 0","2"
"at:43:3142:0:1","Baden Leesdorf","47.99950810","16.25140384","3045","","","Level 0","1"
"at:43:3142:0:3","Leesdorf","47.99963433","16.25134994","3045","","","Level 0","1"
"at:43:3142:0:4","Leesdorf","47.99955618","16.25163740","3045","","","Level 0","2"
"at:43:3142:0:5","Baden Leesdorf","47.99998296","16.25078400","3045","","","Level 0","3"
"at:43:31420:0:1","Maria Taferl Ortsmitte","48.22556387","15.15935788","3317","","","Level 0","1"
"at:43:31420:0:2","Maria Taferl Ortsmitte","48.22556985","15.15905245","3317","","","Level 0","2"
"at:43:31424:0:1","Gumprechtsfelden Ort","48.10907950","15.14882064","3477","","","Level 0","1"
"at:43:31425:0:1","Gumprechtsfelden Nr. 16","48.10557644","15.16048976","3477","","","Level 0","1"
"at:43:31426:0:1","Gumprechtsfelden Nr. 30","48.09845562","15.15152457","3477","","","Level 0","1"
"at:43:31427:0:1","Gumprechtsfelden Nr. 23","48.10449069","15.14258633","3477","","","Level 0","1"
"at:43:31428:0:1","Wieselburg Rottenhaus","48.12010897","15.14115801","3334","","","Level 0","1"
"at:43:31429:0:1","Wieselburg Josephinum","48.12752060","15.14387991","3334","","","Level 0","1"
"at:43:3143:0:1","Baumgarten/Wagram Bundesstraße","48.48646949","15.96525449","3484","","","Level 0","1"
"at:43:3143:0:2","Baumgarten/Wagram Bundesstraße","48.48585027","15.96596416","3484","","","Level 0","2"
"at:43:31430:0:1","Koth bei Purgstall","48.09604980","15.16169350","3468","","","Level 0","1"
"at:43:31431:0:1","Hochrieß Am Türkensturz","48.09851562","15.14741927","3477","","","Level 0","1"
"at:43:31432:0:1","Weghof bei Ruprechtshofen Abzw. Anzenberg","48.15124740","15.24082609","3329","","","Level 0","1"
"at:43:31433:0:1","Schönfeld Müllergasse","48.18912280","15.85991804","3441","","","Level 0","1"
"at:43:31433:0:2","Schönfeld Müllergasse","48.18907489","15.85994499","3441","","","Level 0","2"
"at:43:31434:0:1","Schönfeld Schüldenweg","48.18811667","15.85627088","3441","","","Level 0","1"
